FASTA_NAME	IP_ES_25_N1	Z3_IB_4_N1	Z1_IB_10_N1	Z1_IB_5_N1	Z3_IB_8_N1	ECI_IB_4_N1	ECI_IB_5_N1	Gs(U)_IB_12_N1	Gs(U)_IB_68_N1	Gs(U)_IB_58_N1	Gs(U)_IB_60_N1	Z1_NO_sideL35_M	HP_NO_sideL35_CV	Z1_NO_sideR35_CV	Pb_NO_sideR35_S	IP_NO_sideL35_SI71	Z1_NO_PRT_CV	Z2_NO_AHR_CV	Gs(U)_NO_ALR_SI71	Z3_NO_UCR_S	Z3_NO_UCR_N1	ECI_NO_UCR_CV	Pa_NO_BSR_SI71	ISA_NO_NPR_S	Z3_NO_NPR_V	IP_NO_PLR_S	Pb_NO_PCR_V	ECI_NO_PCR_CV
protein|4	5.94448	259.25926	333.33333	333.33333	259.25926	466.66667	466.66667	0.12562	0.06556	0.11905	0.10523	0.07691	0.49833	2.91083	0.89672	0.09762	5.05367	-0.67469	0.17900	0.69517	-3.70000	0.40275	0.00000	0.88969	0.87437	0.59250	0.01613	0.73061
protein|63	6.04247	14.43889	9.62309	9.63536	20.68227	20.90525	23.18976	0.10266	0.02970	0.06187	0.05533	1.90221	-2.50027	21.28621	0.76350	0.54112	11.12264	6.66500	0.50031	1.62293	1.44000	0.49465	0.61837	-1.02622	1.76884	0.50740	0.01636	0.63376
protein|80	9.44714	22.47257	12.03238	7.19093	19.02174	33.12453	29.07987	0.05761	0.04911	0.04388	0.03817	0.99725	-4.20983	-8.10155	0.56601	0.59590	-13.32590	-60.93591	0.54025	1.09343	5.64000	0.56595	0.54510	-0.89701	0.93810	0.43103	0.01636	0.63376
protein|95	6.63837	12.65711	8.58175	6.79324	12.01983	43.11785	67.50563	0.03016	0.04906	0.07313	0.04810	1.84905	-9.83626	-6.85453	0.46269	0.53395	-13.96133	8.26025	0.52039	1.21850	6.98000	0.54477	0.52494	-1.07549	0.77432	0.29218	0.01776	0.61694
protein|122	-0.68294	74.36369	8.39062	9.22720	11.27064	223.61410	70.45313	0.04983	0.03683	0.04060	0.05659	1.05740	6.85597	36.36455	0.60117	0.58828	-11.31446	12.39698	0.50395	1.28795	3.21000	0.45616	0.51953	-1.18243	0.49131	0.31912	0.01190	0.54681
protein|136	5.08102	26.95835	6.45264	8.39386	23.33792	217.29618	268.67104	0.04911	0.05138	0.04086	0.04908	1.06310	4.43142	76.45216	0.76239	0.63024	-7.18283	-8.44063	0.45399	1.07802	6.57000	0.51143	0.47357	-0.98637	0.44052	0.47847	0.01518	0.63740
protein|153	5.13436	20.05055	8.33218	7.21372	23.09743	30.21726	28.69359	0.03933	0.04269	0.05927	0.09680	1.66594	-13.08231	-14.24308	0.53149	0.58182	-28.88269	-30.66180	0.47074	1.03099	4.10000	0.44063	0.50374	-1.13618	0.66073	0.67377	0.01518	0.63740
protein|164	13.37943	30.81173	7.19490	5.68469	13.38015	53.81259	48.08858	0.12009	0.06094	0.05545	0.06990	1.08132	-127.98050	-4.74305	0.40933	0.56536	-6.47089	-7.56496	0.44863	1.05392	3.33000	0.42803	0.53164	-1.11268	0.69296	0.59446	0.01518	0.63740
protein|202	5.12633	13.30893	11.47566	7.36368	30.39310	42.81079	55.48252	0.16897	0.04120	0.04757	0.04283	1.01122	4.29222	-3.51241	0.73122	0.59725	-3.58658	-2.81105	0.46852	1.36026	7.87000	0.49068	0.54602	-1.64863	0.98012	0.83755	0.00968	0.68080
protein|236	6.00150	21.36937	7.30751	8.04836	36.66464	45.25296	48.96044	0.03890	0.03957	0.04063	0.05135	2.73158	3.87491	2.87208	0.86159	0.57168	-35.60253	-4.39362	0.53080	1.50260	4.47000	0.44467	0.55680	-1.12856	1.45738	0.46447	0.01344	0.55079
