@relation features

@attribute FASTA_NAME {protein|4,protein|63,protein|80,protein|95,protein|122,protein|136,protein|153,protein|164,protein|202,protein|236,protein|265,protein|289,protein|319,protein|329,protein|359,protein|417,protein|427,protein|432,protein|462,protein|524,protein|537,protein|574,protein|614,protein|616,protein|643,protein|653,protein|715,protein|722,protein|740,protein|765,protein|810,protein|824,protein|847,protein|870,protein|874,protein|896,protein|913,protein|925,protein|8,protein|65,protein|94,protein|96,protein|130,protein|143,protein|154,protein|192,protein|228,protein|240,protein|279,protein|294,protein|327,protein|341,protein|412,protein|420,protein|429,protein|447,protein|475,protein|530,protein|548,protein|577,protein|615,protein|640,protein|652,protein|713,protein|720,protein|729,protein|745,protein|791,protein|814,protein|844,protein|860,protein|873,protein|889,protein|900,protein|915,protein|928}
@attribute IP_ES_25_N1 numeric
@attribute Z3_IB_4_N1 numeric
@attribute Z1_IB_10_N1 numeric
@attribute Z1_IB_5_N1 numeric
@attribute Z3_IB_8_N1 numeric
@attribute ECI_IB_4_N1 numeric
@attribute ECI_IB_5_N1 numeric
@attribute Gs(U)_IB_12_N1 numeric
@attribute Gs(U)_IB_68_N1 numeric
@attribute Gs(U)_IB_58_N1 numeric
@attribute Gs(U)_IB_60_N1 numeric
@attribute Z1_NO_sideL35_M numeric
@attribute HP_NO_sideL35_CV numeric
@attribute Z1_NO_sideR35_CV numeric
@attribute Pb_NO_sideR35_S numeric
@attribute IP_NO_sideL35_SI71 numeric
@attribute Z1_NO_PRT_CV numeric
@attribute Z2_NO_AHR_CV numeric
@attribute Gs(U)_NO_ALR_SI71 numeric
@attribute Z3_NO_UCR_S numeric
@attribute Z3_NO_UCR_N1 numeric
@attribute ECI_NO_UCR_CV numeric
@attribute Pa_NO_BSR_SI71 numeric
@attribute ISA_NO_NPR_S numeric
@attribute Z3_NO_NPR_V numeric
@attribute IP_NO_PLR_S numeric
@attribute Pb_NO_PCR_V numeric
@attribute ECI_NO_PCR_CV numeric
@attribute class {P,N}

@data
'protein|4',5.94,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.07,0.12,0.11,0.08,0.5,2.91,0.9,0.1,5.05,-0.67,0.18,0.7,-3.7,0.4,0.0,0.89,0.87,0.59,0.02,0.73,?
'protein|63',6.04,14.44,9.62,9.64,20.68,20.91,23.19,0.1,0.03,0.06,0.06,1.9,-2.5,21.29,0.76,0.54,11.12,6.67,0.5,1.62,1.44,0.49,0.62,-1.03,1.77,0.51,0.02,0.63,?
'protein|80',9.45,22.47,12.03,7.19,19.02,33.12,29.08,0.06,0.05,0.04,0.04,1.0,-4.21,-8.1,0.57,0.6,-13.33,-60.94,0.54,1.09,5.64,0.57,0.55,-0.9,0.94,0.43,0.02,0.63,?
'protein|95',6.64,12.66,8.58,6.79,12.02,43.12,67.51,0.03,0.05,0.07,0.05,1.85,-9.84,-6.85,0.46,0.53,-13.96,8.26,0.52,1.22,6.98,0.54,0.52,-1.08,0.77,0.29,0.02,0.62,?
'protein|122',-0.68,74.36,8.39,9.23,11.27,223.61,70.45,0.05,0.04,0.04,0.06,1.06,6.86,36.36,0.6,0.59,-11.31,12.4,0.5,1.29,3.21,0.46,0.52,-1.18,0.49,0.32,0.01,0.55,?
'protein|136',5.08,26.96,6.45,8.39,23.34,217.3,268.67,0.05,0.05,0.04,0.05,1.06,4.43,76.45,0.76,0.63,-7.18,-8.44,0.45,1.08,6.57,0.51,0.47,-0.99,0.44,0.48,0.02,0.64,?
'protein|153',5.13,20.05,8.33,7.21,23.1,30.22,28.69,0.04,0.04,0.06,0.1,1.67,-13.08,-14.24,0.53,0.58,-28.88,-30.66,0.47,1.03,4.1,0.44,0.5,-1.14,0.66,0.67,0.02,0.64,?
'protein|164',13.38,30.81,7.19,5.68,13.38,53.81,48.09,0.12,0.06,0.06,0.07,1.08,-127.98,-4.74,0.41,0.57,-6.47,-7.56,0.45,1.05,3.33,0.43,0.53,-1.11,0.69,0.59,0.02,0.64,?
'protein|202',5.13,13.31,11.48,7.36,30.39,42.81,55.48,0.17,0.04,0.05,0.04,1.01,4.29,-3.51,0.73,0.6,-3.59,-2.81,0.47,1.36,7.87,0.49,0.55,-1.65,0.98,0.84,0.01,0.68,?
'protein|236',6.0,21.37,7.31,8.05,36.66,45.25,48.96,0.04,0.04,0.04,0.05,2.73,3.87,2.87,0.86,0.57,-35.6,-4.39,0.53,1.5,4.47,0.44,0.56,-1.13,1.46,0.46,0.01,0.55,?
'protein|265',14.99,20.29,13.46,6.95,13.44,142.01,160.34,0.07,0.04,0.04,0.04,0.8,-3.82,-124.07,0.57,0.61,27.23,12.41,0.55,1.15,10.69,0.48,0.51,-1.09,1.74,0.45,0.02,0.56,?
'protein|289',2.94,31.56,9.49,8.02,16.63,22.77,19.31,0.04,0.04,0.06,0.05,0.91,-3.53,-12.91,0.57,0.57,9.34,11.83,0.56,1.32,14.34,0.46,0.52,-1.15,0.97,0.69,0.02,0.54,?
'protein|319',5.45,14.29,7.35,8.58,28.51,28.28,33.36,0.04,0.06,0.05,0.05,23.8,1136.37,5.31,0.64,0.56,21.53,9.73,0.53,-1.08,3.02,0.38,0.53,-1.49,0.98,0.62,0.02,0.64,?
'protein|329',3.95,21.36,7.66,6.97,36.68,134.91,159.8,0.05,0.05,0.06,0.05,17.22,-8.31,3.46,0.64,0.52,8.28,15.72,0.52,-0.9,1.34,0.39,0.56,-1.55,1.22,0.56,0.02,0.61,?
'protein|359',7.41,13.62,9.95,7.43,13.67,39.64,29.65,0.03,0.1,0.05,0.04,1.62,-3.15,-403.01,0.63,0.62,11.96,-118.97,0.52,-0.46,-3.02,0.39,0.49,-0.94,1.38,0.63,0.02,0.59,?
'protein|417',5.11,48.96,12.64,7.47,26.74,49.45,80.72,0.1,0.05,0.05,0.05,1.97,-33.59,12.44,0.67,0.62,39.59,350.72,0.54,1.92,14.16,0.47,0.49,-0.9,0.87,0.58,0.01,0.64,?
'protein|427',4.33,18.93,6.98,11.01,24.79,26.91,31.93,0.07,0.06,0.05,0.03,1.93,-8.11,13.5,0.91,0.58,17.85,13.76,0.56,1.91,13.48,0.48,0.5,-0.77,0.92,0.48,0.01,0.62,?
'protein|432',-2.7,24.96,9.83,6.98,51.28,54.29,73.09,0.07,0.05,0.05,0.04,1.86,-8.96,6.04,1.04,0.55,13.36,5.84,0.56,1.83,13.55,0.49,0.5,-0.85,0.73,0.56,0.01,0.6,?
'protein|462',16.3,17.9,9.7,11.72,33.66,77.56,100.58,0.06,0.05,0.06,0.05,1.1,-13.53,-13.21,0.98,0.55,-53.11,-6.91,0.5,1.73,12.62,0.51,0.53,-0.79,0.41,0.59,0.02,0.61,?
'protein|524',5.83,22.58,17.77,8.77,39.71,48.29,65.06,0.06,0.03,0.04,0.03,1.04,9.06,147.46,0.67,0.54,-19.75,-7.44,0.55,1.13,9.39,0.5,0.56,-1.06,0.68,0.73,0.02,0.59,?
